source,target,weight
H/종가,H/ROA,25
H/종가,H/당기순이익,31
H/종가,S/종가,16
H/종가,S/영업이익,21
H/ROE,H/영업이익,62
H/ROE,H/ROA,72
H/ROE,H/당기순이익,68
H/ROE,S/ROE,51
H/ROE,S/ROA,57
H/ROE,S/종가,20
H/ROE,S/영업이익,42
H/ROE,S/당기순이익,44
H/영업이익,H/ROE,62
H/영업이익,H/ROA,33
H/영업이익,H/당기순이익,32
H/ROA,H/종가,25
H/ROA,H/ROE,72
H/ROA,H/영업이익,33
H/ROA,H/당기순이익,98
H/ROA,S/ROE,44
H/ROA,S/ROA,55
H/ROA,S/종가,41
H/ROA,S/영업이익,77
H/ROA,S/당기순이익,76
H/당기순이익,H/종가,31
H/당기순이익,H/ROE,68
H/당기순이익,H/영업이익,32
H/당기순이익,H/ROA,98
H/당기순이익,H/ROE,43
H/당기순이익,H/ROA,55
H/당기순이익,S/종가,44
H/당기순이익,S/영업이익,82
H/당기순이익,S/당기순이익,80
S/ROE,H/ROE,51
S/ROE,H/ROA,44
S/ROE,H/당기순이익,43
S/ROE,S/ROA,97
S/ROE,S/종가,53
S/ROE,S/영업이익,64
S/ROE,S/당기순이익,67
S/ROA,H/ROE,57
S/ROA,H/ROA,55
S/ROA,H/당기순이익,55
S/ROA,S/ROE,97
S/ROA,S/종가,62
S/ROA,S/영업이익,74
S/ROA,S/당기순이익,79
S/종가,H/종가,16
S/종가,H/ROE,20
S/종가,H/ROA,41
S/종가,H/당기순이익,44
S/종가,S/ROE,53
S/종가,S/ROA,62
S/종가,S/영업이익,75
S/종가,S/당기순이익,78
S/영업이익,H/종가,21
S/영업이익,H/ROE,42
S/영업이익,H/ROA,77
S/영업이익,H/당기순이익,82
S/영업이익,S/ROE,64
S/영업이익,S/ROA,74
S/영업이익,S/종가,75
S/영업이익,S/당기순이익,98
S/당기순이익,H/종가,18
S/당기순이익,H/ROE,44
S/당기순이익,H/ROA,76
S/당기순이익,H/당기순이익,80
S/당기순이익,S/ROE,67
S/당기순이익,S/ROA,79
S/당기순이익,S/종가,78
S/당기순이익,S/영업이익,98